"churn","monthly_bill","gender","millenial","clanmembership","platformsince","avatar","internet_connect","extrapro_account","contract_length","customer_support","payment_type"
"No",29.85,"Female","Gen Z","Yes",1,"No","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"No",56.95,"Male","Gen Z","No",34,"Yes","DSL_16MB/S","No","One year","No","PrePaid"
"Yes",53.85,"Male","Gen Z","No",2,"Yes","DSL_16MB/S","No","Month-to-month","Yes","PrePaid"
"Yes",70.7,"Female","Gen Z","No",2,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",99.65,"Female","Gen Z","No",8,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",29.75,"Female","Gen Z","No",10,"No","DSL_16MB/S","No","Month-to-month","No","PrePaid"
"Yes",104.8,"Female","Gen Z","Yes",28,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",56.15,"Male","Gen Z","No",62,"Yes","DSL_16MB/S","No","One year","No","Bank transfer (automatic)"
"No",49.95,"Male","Gen Z","Yes",13,"Yes","DSL_16MB/S","No","Month-to-month","Yes","PrePaid"
"No",100.35,"Male","Gen Z","Yes",58,"Yes","Fiber optic","Yes","One year","No","Credit card (automatic)"
"Yes",103.7,"Male","Gen Z","No",49,"Yes","Fiber optic","Yes","Month-to-month","Yes","Bank transfer (automatic)"
"No",113.25,"Female","Gen Z","Yes",69,"Yes","Fiber optic","Yes","Two year","No","Credit card (automatic)"
"No",20.65,"Female","Gen Z","No",52,"Yes","Base DSL_16MB/S","No","One year","No","PrePaid"
"Yes",55.2,"Female","Gen Z","Yes",10,"Yes","DSL_16MB/S","No","Month-to-month","No","Credit card (automatic)"
"No",90.05,"Female","Gen Z","No",21,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",20.15,"Male","Gen Z","No",1,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",59.9,"Female","Gen Z","Yes",58,"Yes","DSL_16MB/S","Yes","Two year","Yes","Credit card (automatic)"
"No",59.6,"Male","Gen Z","Yes",49,"Yes","DSL_16MB/S","No","Month-to-month","No","Credit card (automatic)"
"No",55.3,"Female","Gen Z","No",30,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Bank transfer (automatic)"
"Yes",99.35,"Male","Gen Z","Yes",47,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"Yes",30.2,"Male","Gen Z","Yes",1,"No","DSL_16MB/S","No","Month-to-month","No","Electronic check"
"Yes",64.7,"Female","Gen Z","No",17,"Yes","DSL_16MB/S","No","Month-to-month","Yes","PrePaid"
"No",95.5,"Male","Millenial","Yes",2,"Yes","Fiber optic","No","Month-to-month","Yes","Credit card (automatic)"
"No",66.15,"Female","Gen Z","Yes",27,"Yes","DSL_16MB/S","No","One year","No","PrePaid"
"Yes",69.7,"Male","Gen Z","No",5,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",49.55,"Male","Gen Z","Yes",10,"Yes","DSL_16MB/S","No","One year","No","PrePaid"
"No",69.2,"Female","Gen Z","Yes",70,"Yes","DSL_16MB/S","Yes","Two year","Yes","Credit card (automatic)"
"No",20.75,"Female","Gen Z","Yes",17,"Yes","Base DSL_16MB/S","No","One year","No","PrePaid"
"No",79.85,"Female","Gen Z","No",63,"Yes","DSL_16MB/S","Yes","Two year","Yes","Credit card (automatic)"
"No",79.75,"Male","Gen Z","No",52,"Yes","DSL_16MB/S","Yes","Two year","Yes","Credit card (automatic)"
"No",64.15,"Female","Gen Z","Yes",69,"Yes","DSL_16MB/S","Yes","Two year","Yes","Credit card (automatic)"
"No",90.25,"Female","Millenial","No",43,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"Yes",99.1,"Female","Gen Z","No",15,"Yes","Fiber optic","No","Month-to-month","Yes","Credit card (automatic)"
"No",69.5,"Female","Millenial","Yes",25,"Yes","DSL_16MB/S","Yes","Month-to-month","Yes","Credit card (automatic)"
"Yes",80.65,"Female","Millenial","Yes",8,"Yes","Fiber optic","Yes","Month-to-month","Yes","Credit card (automatic)"
"No",74.85,"Female","Millenial","Yes",60,"Yes","DSL_16MB/S","No","One year","Yes","Credit card (automatic)"
"No",108.45,"Male","Millenial","Yes",66,"Yes","Fiber optic","Yes","One year","Yes","Electronic check"
"No",100.5,"Female","Gen Z","Yes",47,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",54.4,"Female","Gen Z","Yes",18,"Yes","DSL_16MB/S","No","One year","Yes","Credit card (automatic)"
"Yes",94.4,"Female","Gen Z","No",9,"Yes","Fiber optic","Yes","Month-to-month","No","Electronic check"
"No",79.2,"Female","Gen Z","No",31,"Yes","DSL_16MB/S","No","Two year","No","PrePaid"
"No",20.15,"Female","Gen Z","Yes",50,"Yes","Base DSL_16MB/S","No","Two year","No","Bank transfer (automatic)"
"No",79.85,"Male","Gen Z","No",10,"Yes","Fiber optic","No","Month-to-month","Yes","PrePaid"
"No",20.4,"Female","Gen Z","Yes",52,"Yes","Base DSL_16MB/S","No","One year","Yes","Electronic check"
"No",111.6,"Male","Millenial","Yes",64,"Yes","Fiber optic","Yes","Two year","Yes","Bank transfer (automatic)"
"No",64.5,"Female","Gen Z","No",3,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Bank transfer (automatic)"
"No",110.5,"Female","Millenial","No",56,"Yes","Fiber optic","Yes","One year","No","Electronic check"
"No",55.65,"Female","Gen Z","No",46,"Yes","DSL_16MB/S","No","One year","No","Credit card (automatic)"
"No",74.75,"Male","Millenial","No",30,"Yes","DSL_16MB/S","No","Month-to-month","Yes","Electronic check"
"Yes",79.35,"Female","Gen Z","No",1,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",50.55,"Female","Gen Z","Yes",11,"No","DSL_16MB/S","No","Month-to-month","No","Electronic check"
"No",103.8,"Female","Gen Z","No",42,"Yes","Fiber optic","No","Month-to-month","Yes","Bank transfer (automatic)"
"No",20.15,"Female","Gen Z","Yes",49,"Yes","Base DSL_16MB/S","No","Two year","Yes","Bank transfer (automatic)"
"No",99.3,"Male","Gen Z","No",9,"Yes","Fiber optic","Yes","Month-to-month","Yes","Credit card (automatic)"
"No",62.15,"Female","Gen Z","Yes",35,"Yes","DSL_16MB/S","No","One year","Yes","Bank transfer (automatic)"
"No",20.65,"Female","Gen Z","Yes",48,"Yes","Base DSL_16MB/S","No","Two year","No","Bank transfer (automatic)"
"No",19.95,"Female","Gen Z","Yes",46,"Yes","Base DSL_16MB/S","No","Two year","Yes","PrePaid"
"No",82.05,"Male","Gen Z","Yes",30,"Yes","Fiber optic","No","Month-to-month","No","Bank transfer (automatic)"
"No",74.7,"Male","Millenial","No",1,"Yes","Fiber optic","No","Month-to-month","No","Electronic check"
"No",84,"Male","Gen Z","Yes",66,"Yes","DSL_16MB/S","Yes","Two year","Yes","PrePaid"
"No",111.05,"Female","Gen Z","No",65,"Yes","Fiber optic","Yes","Month-to-month","Yes","Credit card (automatic)"
"No",100.9,"Male","Gen Z","No",72,"Yes","Fiber optic","Yes","Two year","Yes","Bank transfer (automatic)"
"No",66.85,"Male","Gen Z","Yes",71,"Yes","DSL_16MB/S","Yes","One year","Yes","Credit card (automatic)"
"Yes",21.05,"Male","Gen Z","No",5,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",21,"Male","Gen Z","No",52,"Yes","Base DSL_16MB/S","No","Two year","No","Bank transfer (automatic)"
"Yes",98.5,"Female","Millenial","Yes",25,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"No",20.2,"Male","Gen Z","No",1,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",95,"Male","Gen Z","No",38,"Yes","Fiber optic","Yes","One year","No","Bank transfer (automatic)"
"No",45.55,"Female","Millenial","Yes",66,"No","DSL_16MB/S","No","One year","No","Bank transfer (automatic)"
"Yes",110,"Male","Gen Z","Yes",68,"Yes","Fiber optic","Yes","Two year","Yes","Bank transfer (automatic)"
"No",24.3,"Male","Gen Z","No",5,"No","DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",104.15,"Female","Gen Z","Yes",72,"Yes","Fiber optic","Yes","One year","Yes","Electronic check"
"No",30.15,"Female","Gen Z","No",32,"No","DSL_16MB/S","No","One year","No","PrePaid"
"No",91.65,"Female","Gen Z","No",43,"Yes","Fiber optic","No","Month-to-month","Yes","Electronic check"
"Yes",76.5,"Female","Millenial","Yes",37,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",89.85,"Male","Gen Z","Yes",3,"Yes","Fiber optic","No","Month-to-month","No","Electronic check"
"No",31.05,"Female","Gen Z","No",36,"No","DSL_16MB/S","No","Two year","No","Bank transfer (automatic)"
"Yes",100.25,"Female","Gen Z","Yes",10,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",20.65,"Female","Gen Z","No",41,"Yes","Base DSL_16MB/S","No","Two year","No","PrePaid"
"No",85.2,"Male","Gen Z","Yes",27,"Yes","Fiber optic","Yes","Month-to-month","Yes","Credit card (automatic)"
"No",99.8,"Female","Gen Z","Yes",56,"Yes","Fiber optic","Yes","One year","Yes","Credit card (automatic)"
"No",20.7,"Female","Gen Z","No",6,"Yes","Base DSL_16MB/S","No","Month-to-month","No","PrePaid"
"Yes",74.4,"Male","Gen Z","No",3,"Yes","Fiber optic","Yes","Month-to-month","Yes","Electronic check"
"No",50.7,"Female","Gen Z","Yes",7,"Yes","DSL_16MB/S","No","Month-to-month","No","PrePaid"
"No",56.45,"Male","Millenial","No",71,"No","DSL_16MB/S","No","One year","Yes","Electronic check"
"Yes",58.6,"Female","Gen Z","Yes",25,"No","DSL_16MB/S","No","Month-to-month","Yes","Credit card (automatic)"
"No",50.55,"Male","Gen Z","No",67,"Yes","DSL_16MB/S","No","Two year","No","Bank transfer (automatic)"
